상호명,주소,카테고리_대,카테고리_소,위도,경도
씨스페이스자양,서울특별시 광진구 동일로4길 21 21,생활/편의,편의점,37.5364010404771,127.062240824173
크린업24,서울특별시 은평구 진관4로 17 17 은평뉴타운상림마을8단지,생활/편의,세탁소,37.6446546253384,126.921601809783
우리짐상도점,서울특별시 동작구 만양로 5-1 5 명칭없음,운동 시설,헬스장,37.5052845854301,126.946278645693
피브로한의원,서울특별시 서초구 신반포로 162 162 르본시티,의료,한의원,37.5048913265292,127.002284559382
더한별이비인후과,서울특별시 송파구 송파대로 365 365,의료,이비인후과 의원,37.5004151675176,127.111099840973
석상엽골프아카데미,서울특별시 용산구 대사관로34길 41 41,운동 시설,골프 연습장,37.5314888133867,127.006030209991
바비테니스,서울특별시 강동구 올림픽로 630 630 양서빌딩,운동 시설,테니스장,37.537749474766,127.123442922608
제이앤케이의원,서울특별시 강남구 도산대로 120 120 청호빌딩,의료,피부/비뇨기과 의원,37.516737531523,127.02187641658
삼성안과의원,서울특별시 송파구 올림픽로 114 114 서경빌딩,의료,안과 의원,37.5113853293142,127.083190041516
좋은습관아현,서울특별시 서대문구 신촌로 235 235,운동 시설,헬스장,37.5574370614913,126.952149033001
태양당슈퍼,서울특별시 용산구 새창로 132 132,생활/편의,슈퍼마켓,37.5357083002205,126.961237030032
세븐송파최고점,서울특별시 송파구 백제고분로45길 22 22,생활/편의,편의점,37.5100395433129,127.109338360177
아비쥬의원홍대,서울특별시 마포구 양화로 162 162 좋은사람들빌딩,의료,기타 의원,37.5564311227607,126.923878603898
일아슈퍼,서울특별시 도봉구 도봉로181길 34 34 지층,생활/편의,슈퍼마켓,37.6843606817191,127.043987147045
얼음왕국아이스크림할인점풍납1,서울특별시 송파구 풍성로25길 22-1 22,생활/편의,슈퍼마켓,37.5353644044682,127.120949846541
씨유홍은,서울특별시 서대문구 홍은중앙로3길 9 9 북한산두산위브1차,생활/편의,편의점,37.5990056544131,126.944659954774
서울송마취통증의학과,서울특별시 용산구 한강대로 92 92 LS용산타워,의료,기타 의원,37.5281778252738,126.967519760974
동양세탁소,서울특별시 동대문구 천장산로7길 19 19,생활/편의,세탁소,37.5983021877763,127.056800297284
지에스25중화타운점,서울특별시 중랑구 중랑천로 123 123,생활/편의,편의점,37.5962036394673,127.071926903203
신흥슈퍼,서울특별시 강동구 구천면로 385 385,생활/편의,슈퍼마켓,37.5509017606608,127.141548602599
다복마트,서울특별시 양천구 신정중앙로 37 37,생활/편의,슈퍼마켓,37.5275719167112,126.855995294033
시원레저개발,서울특별시 강서구 공항대로 164 164 류마타워,운동 시설,골프 연습장,37.5593180368306,126.825511677107
