name,address,latitude,longitude,category_large,category_small,source_file
서울역,,37.55315,126.972533,metro,1호선,metro_station_seoul_cleaned.csv
시청역,,37.56359,126.975407,metro,1호선,metro_station_seoul_cleaned.csv
종각역,,37.570203,126.983116,metro,1호선,metro_station_seoul_cleaned.csv
종로3가역,,37.570429,126.992095,metro,1호선,metro_station_seoul_cleaned.csv
종로5가역,,37.570971,127.0019,metro,1호선,metro_station_seoul_cleaned.csv
동대문역,,37.57179,127.011383,metro,1호선,metro_station_seoul_cleaned.csv
동묘앞역,,37.573265,127.016459,metro,1호선,metro_station_seoul_cleaned.csv
신설동역,,37.576117,127.02471,metro,1호선,metro_station_seoul_cleaned.csv
제기동역,,37.578116,127.034902,metro,1호선,metro_station_seoul_cleaned.csv
청량리역,,37.580148,127.045063,metro,1호선,metro_station_seoul_cleaned.csv
을지로입구역,,37.565998,126.982569,metro,2호선,metro_station_seoul_cleaned.csv
을지로3가역,,37.566292,126.991773,metro,2호선,metro_station_seoul_cleaned.csv
을지로4가역,,37.566611,126.998122,metro,2호선,metro_station_seoul_cleaned.csv
동대문역사문화공원역,,37.565597,127.009113,metro,2호선,metro_station_seoul_cleaned.csv
신당역,,37.565681,127.019488,metro,2호선,metro_station_seoul_cleaned.csv
상왕십리역,,37.564504,127.028872,metro,2호선,metro_station_seoul_cleaned.csv
왕십리역,,37.561159,127.035505,metro,2호선,metro_station_seoul_cleaned.csv
한양대역,,37.55658,127.043504,metro,2호선,metro_station_seoul_cleaned.csv
뚝섬역,,37.54718,127.047413,metro,2호선,metro_station_seoul_cleaned.csv
성수역,,37.544628,127.055983,metro,2호선,metro_station_seoul_cleaned.csv
건대입구역,,37.540408,127.069231,metro,2호선,metro_station_seoul_cleaned.csv
구의역,,37.536857,127.085024,metro,2호선,metro_station_seoul_cleaned.csv
강변역,,37.535161,127.094684,metro,2호선,metro_station_seoul_cleaned.csv
잠실나루역,,37.520688,127.103836,metro,2호선,metro_station_seoul_cleaned.csv
잠실역,,37.513305,127.100129,metro,2호선,metro_station_seoul_cleaned.csv
잠실새내역,,37.520731,127.103738,metro,2호선,metro_station_seoul_cleaned.csv
종합운동장역,,37.511008,127.073641,metro,2호선,metro_station_seoul_cleaned.csv
삼성역,,37.508827,127.063203,metro,2호선,metro_station_seoul_cleaned.csv
선릉역,,37.504257,127.048174,metro,2호선,metro_station_seoul_cleaned.csv
역삼역,,37.500658,127.03643,metro,2호선,metro_station_seoul_cleaned.csv
강남역,,37.497958,127.027539,metro,2호선,metro_station_seoul_cleaned.csv
교대역,,37.493957,127.014631,metro,2호선,metro_station_seoul_cleaned.csv
서초역,,37.49191,127.007945,metro,2호선,metro_station_seoul_cleaned.csv
방배역,,37.481469,126.997627,metro,2호선,metro_station_seoul_cleaned.csv
사당역,,37.476536,126.981631,metro,2호선,metro_station_seoul_cleaned.csv
낙성대역,,37.47693,126.963783,metro,2호선,metro_station_seoul_cleaned.csv
서울대입구역,,37.481233,126.952745,metro,2호선,metro_station_seoul_cleaned.csv
봉천역,,37.482416,126.941896,metro,2호선,metro_station_seoul_cleaned.csv
신림역,,37.484216,126.929573,metro,2호선,metro_station_seoul_cleaned.csv
신대방역,,37.487534,126.913279,metro,2호선,metro_station_seoul_cleaned.csv
구로디지털단지역,,37.485005,126.902626,metro,2호선,metro_station_seoul_cleaned.csv
대림역,,37.492426,126.895293,metro,2호선,metro_station_seoul_cleaned.csv
신도림역,,37.508815,126.891222,metro,2호선,metro_station_seoul_cleaned.csv
문래역,,37.517993,126.894766,metro,2호선,metro_station_seoul_cleaned.csv
영등포구청역,,37.525766,126.896627,metro,2호선,metro_station_seoul_cleaned.csv
당산역,,37.533877,126.902011,metro,2호선,metro_station_seoul_cleaned.csv
합정역,,37.550025,126.914557,metro,2호선,metro_station_seoul_cleaned.csv
홍대입구역,,37.556748,126.923643,metro,2호선,metro_station_seoul_cleaned.csv
신촌역,,37.555153,126.93689,metro,2호선,metro_station_seoul_cleaned.csv
이대역,,37.556734,126.945897,metro,2호선,metro_station_seoul_cleaned.csv
아현역,,37.557407,126.956079,metro,2호선,metro_station_seoul_cleaned.csv
충정로역,,37.559742,126.964455,metro,2호선,metro_station_seoul_cleaned.csv
시청역,,37.563534,126.975271,metro,2호선,metro_station_seoul_cleaned.csv
신설동역,,37.574653,127.025158,metro,2호선,metro_station_seoul_cleaned.csv
용두역,,37.574012,127.03811,metro,2호선,metro_station_seoul_cleaned.csv
신답역,,37.56147,127.056348,metro,2호선,metro_station_seoul_cleaned.csv
용답역,,37.566412,126.977863,metro,2호선,metro_station_seoul_cleaned.csv
도림천역,,37.514759,126.882586,metro,2호선,metro_station_seoul_cleaned.csv
양천구청역,,37.512194,126.865193,metro,2호선,metro_station_seoul_cleaned.csv
신정네거리역,,37.520218,126.852849,metro,2호선,metro_station_seoul_cleaned.csv
까치산역,,37.53181,126.846706,metro,2호선,metro_station_seoul_cleaned.csv
지축역,,37.648281,126.912551,metro,3호선,metro_station_seoul_cleaned.csv
구파발역,,37.636612,126.918827,metro,3호선,metro_station_seoul_cleaned.csv
연신내역,,37.618855,126.920859,metro,3호선,metro_station_seoul_cleaned.csv
불광역,,37.610554,126.929843,metro,3호선,metro_station_seoul_cleaned.csv
녹번역,,37.600882,126.935758,metro,3호선,metro_station_seoul_cleaned.csv
홍제역,,37.588851,126.944092,metro,3호선,metro_station_seoul_cleaned.csv
