name,address,latitude,longitude,category_large,category_small,source_file
스타벅스 가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)...",37.5231599210152,127.021661092512,cafe,cafe,starbucks_seoul_cleaned.csv
스타벅스 강남자곡,서울특별시 강남구 자곡로 172 (자곡동) 107~109호...,,,cafe,cafe,starbucks_seoul_cleaned.csv
스타벅스 마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호...",37.5604123842333,126.829581367925,cafe,cafe,starbucks_seoul_cleaned.csv
스타벅스 강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/...",37.5462444503704,126.836118023996,cafe,cafe,starbucks_seoul_cleaned.csv
청량리_파출소,서울특별시 동대문구 약령시로21가길 15,37.58408952045192,127.0452640374931,안전,경찰서/파출소,police_seoul_cleaned_ver2.csv
하남풍산역,,37.552201,127.203897,metro,5호선,metro_station_seoul_cleaned.csv
하남시청역,,37.541723,127.206901,metro,5호선,metro_station_seoul_cleaned.csv
하남검단산역,,37.539729,127.223427,metro,5호선,metro_station_seoul_cleaned.csv
장암역,,37.70015,127.053126,metro,7호선,metro_station_seoul_cleaned.csv
GS THE FRESH 둔촌포레온점,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 (둔촌동)",37.5274758605763,127.137046059861,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
하나로마트 둔촌점,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 (둔촌동)",37.5274758605763,127.137046059861,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
구의 자이르네 판매시설,서울특별시 광진구 광나루로39길 11 (구의동),37.5455028168806,127.088780729862,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 노량진역점,"서울특별시 동작구 만양로 93, 주영빌딩 B1층 (노량진동)",37.5118036816925,126.944071659172,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 수유중앙점,서울특별시 강북구 삼양로79길 24-17 (수유동),37.6311119057825,127.016148411477,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
(주)지에스리테일GS수퍼 광진화양점,서울특별시 광진구 능동로13길 39 (화양동),37.543959020957,127.069757721395,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 성동텐즈힐점,"서울특별시 성동구 마장로 137, 221동 1층 1230호,1231호,1232(일부)호 (상왕십리동, 텐즈힐)",37.5678250213489,127.025053595952,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 용산이촌점,"서울특별시 용산구 이촌로 200, LG프라자 지하1층 (이촌동)",37.5209511026518,126.969343240712,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
(주)지에스리테일 송파점,"서울특별시 송파구 동남로 189 (가락동, 쌍용아파트)",37.4946614092198,127.129853687565,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 신촌이대역점,"서울특별시 서대문구 이화여대길 50-12, 상가동 1층 101호 (대현동, 신촌럭키아파트)",37.5594539604684,126.946519557644,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 남가좌디엠씨점,"서울특별시 서대문구 거북골로 100, 지하3층 32,33,34,35호 (남가좌동, 래미안 루센티아)",37.5757256799627,126.918353630124,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 송파시그니처점,"서울특별시 송파구 거마로 56(거여동, 송파시그니처롯데캐슬)",37.4970454816341,127.147282077623,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS더프레시 보문역사거리점,"서울특별시 성북구 보문로 121, 신한은행보문동지점 1층 일부 (보문동2가)",37.5857967859976,127.018798138422,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 방배중앙점,서울특별시 서초구 동광로 35 (방배동),37.4915535380568,126.986657153685,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
롯데쇼핑(주)롯데슈퍼원효로점,"서울특별시 용산구 백범로 341 (원효로1가, 리첸시아 용산)",37.5379811146025,126.967987897826,생활/편의,복합쇼핑몰,large_scale_shop_seoul_cleaned.csv
롯데쇼핑(주)롯데마트 송파점,서울특별시 송파구 중대로 80 (문정동),37.4917620371568,127.117842816756,생활/편의,대형마트,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 잠실래미안점,"서울특별시 송파구 올림픽로35길 45, 잠실래미안아이파크 단지내 상가 B101~B106호 (신천동)",37.5191418524332,127.109423017985,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 성동옥수점,"서울특별시 성동구 독서당로 223, 래미안 옥수 리버젠 상가 상가동 423~428호 (옥수동)",37.5442707521164,127.015191933825,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
(주)지에스리테일 암사캐슬점,서울특별시 강동구 고덕로 133 (암사동),37.5552528493133,127.140347239304,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
신원아침도시마인상가,서울특별시 강남구 도산대로85길 30 (청담동),37.526439666489,127.049680036198,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
롯데슈퍼 논현점,"서울특별시 강남구 언주로122길 25 (논현동, 두산위브아파트)",37.5128106920375,127.038440301401,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 송파나루역점,"서울특별시 송파구 올림픽로32길 53, 1층 (방이동)",37.5124962447277,127.112100318854,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
(주)지에스리테일 잠실파크리오점,"서울특별시 송파구 올림픽로 435 (신천동, 파크리오아파트)",37.5213592954462,127.104971745978,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
(주)지에스리테일 송파가락점,서울특별시 송파구 오금로46길 49 (가락동),37.4937245011219,127.133049178585,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 공릉역점,"서울특별시 노원구 동일로192길 23, 1층 (공릉동)",37.6263598183875,127.074127204284,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
양남시장정비사업,서울특별시 영등포구 선유동1로 9-7 (양평동1가),37.5228964926308,126.891143228051,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 강남영동점,"서울특별시 강남구 강남대로128길 20, 영동프라자 (논현동)",37.5099952118083,127.023823242641,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
