연번,호선,외부코드,역명,위도,경도,기준일자
1,1,150,서울,37.55315,126.972533,2025-08-14
2,1,151,시청,37.56359,126.975407,2025-08-14
3,1,152,종각,37.570203,126.983116,2025-08-14
4,1,153,종로3가,37.570429,126.992095,2025-08-14
5,1,154,종로5가,37.570971,127.0019,2025-08-14
6,1,155,동대문,37.57179,127.011383,2025-08-14
7,1,159,동묘앞,37.573265,127.016459,2025-08-14
8,1,156,신설동,37.576117,127.02471,2025-08-14
9,1,157,제기동,37.578116,127.034902,2025-08-14
10,1,158,청량리,37.580148,127.045063,2025-08-14
11,2,202,을지로입구,37.565998,126.982569,2025-08-14
12,2,203,을지로3가,37.566292,126.991773,2025-08-14
13,2,204,을지로4가,37.566611,126.998122,2025-08-14
14,2,205,동대문역사문화공원,37.565597,127.009113,2025-08-14
15,2,206,신당,37.565681,127.019488,2025-08-14
16,2,207,상왕십리,37.564504,127.028872,2025-08-14
17,2,208,왕십리,37.561159,127.035505,2025-08-14
18,2,209,한양대,37.55658,127.043504,2025-08-14
19,2,210,뚝섬,37.54718,127.047413,2025-08-14
20,2,211,성수,37.544628,127.055983,2025-08-14
21,2,212,건대입구,37.540408,127.069231,2025-08-14
22,2,213,구의,37.536857,127.085024,2025-08-14
23,2,214,강변,37.535161,127.094684,2025-08-14
24,2,215,잠실나루,37.520688,127.103836,2025-08-14
25,2,216,잠실,37.513305,127.100129,2025-08-14
26,2,217,잠실새내,37.520731,127.103738,2025-08-14
27,2,218,종합운동장,37.511008,127.073641,2025-08-14
28,2,219,삼성,37.508827,127.063203,2025-08-14
29,2,220,선릉,37.504257,127.048174,2025-08-14
30,2,221,역삼,37.500658,127.03643,2025-08-14
31,2,222,강남,37.497958,127.027539,2025-08-14
32,2,223,교대,37.493957,127.014631,2025-08-14
33,2,224,서초,37.49191,127.007945,2025-08-14
34,2,225,방배,37.481469,126.997627,2025-08-14
35,2,226,사당,37.476536,126.981631,2025-08-14
36,2,227,낙성대,37.47693,126.963783,2025-08-14
37,2,228,서울대입구,37.481233,126.952745,2025-08-14
