점포명,주소,전화번호,비고,예약 가능 여부,운영 시간
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),1522-3232,리저브 매장 2번,TRUE,[URL]
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),1522-3232,리저브 매장 2번,FALSE,09:00 - 22:00
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),1522-3232,리저브 매장 2번,TRUE,08:00 - 23:00
대치재경빌딩,서울특별시 강남구 남부순환로 2947 (대치동)...,1522-3232,리저브 매장 2번,FALSE,07:30 - 21:30
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),1522-3232,리저브 매장 2번,TRUE,[URL]
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),1522-3232,리저브 매장 2번,TRUE,09:00 - 22:00
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),1522-3232,리저브 매장 2번,FALSE,10:00 - 21:00
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),1522-3232,리저브 매장 2번,TRUE,08:30 - 22:30
압구정R,서울특별시 강남구 언주로 861 (신사동),1522-3232,리저브 매장 2번,FALSE,[URL]
수서역R,서울특별시 강남구 광평로 281 (수서동),1522-3232,리저브 매장 2번,TRUE,07:00 - 21:00
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동)...,1522-3232,리저브 매장 2번,FALSE,09:30 - 20:30
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),1522-3232,리저브 매장 2번,TRUE,10:30 - 23:00
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),1522-3232,리저브 매장 2번,FALSE,08:00 - 21:00
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),1522-3232,리저브 매장 2번,TRUE,[URL]
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호...,1522-3232,리저브 매장 2번,TRUE,07:30 - 22:00
강남구청정문,서울특별시 강남구 학동로 419 (청담동),1522-3232,리저브 매장 2번,FALSE,09:00 - 21:30
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),1522-3232,리저브 매장 2번,TRUE,10:00 - 20:00
강남R,서울특별시 강남구 강남대로 390 (역삼동),1522-3232,리저브 매장 2번,TRUE,08:00 - 23:00
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),1522-3232,리저브 매장 2번,FALSE,[URL]
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),1522-3232,리저브 매장 2번,TRUE,09:30 - 22:30
압구정,서울특별시 강남구 압구정로30길 17 (신사동)...,1522-3232,리저브 매장 2번,TRUE,07:00 - 21:30
신사가로수,서울특별시 강남구 가로수길 59,1522-3232,리저브 매장 2번,FALSE,10:00 - 22:00
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동)...,1522-3232,리저브 매장 2번,TRUE,08:30 - 20:30
강남우성,서울특별시 강남구 강남대로 328 (역삼동),1522-3232,리저브 매장 2번,FALSE,[URL]
학동사거리,서울특별시 강남구 도산대로 328 (논현동),1522-3232,리저브 매장 2번,TRUE,09:00 - 23:00
대치사거리,서울특별시 강남구 삼성로 402 (대치동),1522-3232,리저브 매장 2번,TRUE,07:30 - 21:00
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩...,1522-3232,리저브 매장 2번,FALSE,10:00 - 22:00
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)...",1522-3232,리저브 매장 2번,TRUE,08:00 - 20:00
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워...,1522-3232,리저브 매장 2번,FALSE,[URL]
도곡역,서울특별시 강남구 남부순환로 2909 (대치동)...,1522-3232,리저브 매장 2번,TRUE,09:30 - 21:00
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회...,1522-3232,리저브 매장 2번,FALSE,07:00 - 23:00
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워...,1522-3232,리저브 매장 2번,TRUE,10:00 - 20:00
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)...",1522-3232,리저브 매장 2번,TRUE,08:30 - 22:00
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),1522-3232,리저브 매장 2번,FALSE,09:00 - 21:00
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호...,1522-3232,리저브 매장 2번,TRUE,[URL]
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)...",1522-3232,리저브 매장 2번,FALSE,07:30 - 23:00
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)...",1522-3232,리저브 매장 2번,TRUE,10:00 - 20:00
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)...",1522-3232,리저브 매장 2번,TRUE,08:00 - 22:00
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)...",1522-3232,리저브 매장 2번,FALSE,09:30 - 21:30
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)...",1522-3232,리저브 매장 2번,TRUE,07:00 - 20:30
