RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11470,양천구,10300,신월동,1,대지,1076,0000,목동센트럴아이파크위브2단지,20260212,130000,84.97,0.0,20.0,,,2020.0,아파트,중개거래,서울 양천구
2026,11470,양천구,10300,신월동,1,대지,1076,0000,목동센트럴아이파크위브2단지,20260212,122000,59.88,0.0,18.0,,,2020.0,아파트,중개거래,서울 양천구
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,5244,31.11,39.89,4.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,28.4,9.0,8.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,28.4,9.0,6.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,5050,18.57,5.0,6.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,5050,18.57,5.0,5.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,3146,18.57,24.12,4.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4565,26.95,35.04,2.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4565,26.95,35.04,5.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4565,26.95,35.04,3.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7350,26.95,8.0,7.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,3146,18.57,24.12,3.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4565,26.95,35.04,4.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7350,26.95,8.0,8.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7350,26.95,8.0,6.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,28.4,9.0,7.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4827,28.4,36.92,2.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,5050,18.57,5.0,8.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4827,28.4,36.92,3.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,5244,31.11,39.89,2.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,28.53,9.0,7.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,5244,31.11,39.89,3.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,29.29,9.0,8.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,3146,18.57,24.12,2.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,29.29,9.0,5.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,29.29,9.0,7.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,29.29,9.0,6.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4822,28.53,36.88,3.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4822,28.53,36.88,2.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4822,28.53,36.88,4.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4822,28.53,36.88,5.0,,,2019.0,오피스텔,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,28.53,9.0,6.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,5050,18.57,5.0,7.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,28.53,9.0,8.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,7400,28.4,9.0,5.0,,,2019.0,연립다세대,직거래,
2026,11500,강서구,10300,화곡동,1,대지,0024,0345,서경팰리스,20260212,4827,28.4,36.92,4.0,,,2019.0,오피스텔,직거래,
2026,11290,성북구,13400,길음동,1,대지,1284,0000,길음뉴타운8단지(래미안),20260212,112000,59.99,0.0,8.0,,,2010.0,아파트,중개거래,서울 중랑구
2026,11500,강서구,10300,화곡동,1,대지,0369,0029,우성빌라,20260212,16200,50.4,24.0,4.0,,,2000.0,연립다세대,직거래,
2026,11380,은평구,10800,역촌동,,,,,,20260212,91000,227.16,165.0,,,,1984.0,단독다가구,직거래,
2026,11650,서초구,10100,방배동,1,대지,0946,0008,디에이치 방배,20260211,270000,84.98,0.0,13.0,분양권,,0.0,아파트,중개거래,서울 서초구
2026,11320,도봉구,10600,방학동,1,대지,0386,0063,더스테이원,20260211,21000,28.04,22.0,2.0,,,2023.0,연립다세대,직거래,
2026,11560,영등포구,11800,도림동,1,대지,0165,0001,동아에코빌,20260211,110000,84.99,0.0,13.0,,,2000.0,아파트,중개거래,서울 영등포구
2026,11680,강남구,11200,자곡동,1,대지,0646,0000,엘에이치강남8단지,20260211,144000,59.6,82.0,4.0,,,2013.0,연립다세대,중개거래,서울 강남구
2026,11260,중랑구,10100,면목동,,,,,,20260211,73835,182.74,99.0,,,,1993.0,단독다가구,직거래,
2026,11260,중랑구,10100,면목동,,,,,,20260211,73507,131.01,112.0,,,,1977.0,단독다가구,직거래,
2026,11650,서초구,10800,서초동,1,대지,1452,0010,황실빌라(6차),20260211,70000,113.01,85.0,1.0,,,1988.0,연립다세대,직거래,
2026,11560,영등포구,13200,신길동,1,대지,0160,0026,(160-26),20260211,35000,29.8,22.0,2.0,,,2015.0,연립다세대,중개거래,서울 영등포구
2026,11545,금천구,10100,가산동,1,대지,0535,0007,G밸리 하우스디 어반,20260211,14000,19.373,29.2666,12.0,,,2019.0,오피스텔,직거래,
2026,11350,노원구,10500,상계동,1,대지,0670,0000,상계주공9(고층),20260211,48000,49.94,0.0,15.0,,,1988.0,아파트,중개거래,서울 노원구
2026,11215,광진구,10100,중곡동,1,대지,0234,0017,해담은,20260211,51000,33.64,23.0,2.0,,,2016.0,연립다세대,중개거래,서울 광진구
2026,11545,금천구,10100,가산동,1,대지,0535,0007,G밸리 하우스디 어반,20260211,14000,19.373,29.2666,13.0,,,2019.0,오피스텔,직거래,
2026,11215,광진구,10100,중곡동,1,대지,0234,0017,해담은,20260211,51000,33.64,23.0,5.0,,,2016.0,연립다세대,중개거래,서울 광진구
2026,11470,양천구,10200,목동,1,대지,0315,0029,현대파크빌,20260211,21500,59.34,26.0,-1.0,,,2000.0,연립다세대,중개거래,서울 양천구
2026,11530,구로구,10700,개봉동,1,대지,0327,0010,태양하이츠(327-10),20260211,6000,36.72,15.0,-1.0,,,1994.0,연립다세대,중개거래,서울 구로구
2026,11680,강남구,10400,청담동,1,대지,0005,0000,경원오피스텔,20260211,27400,22.77,31.66,13.0,,,1991.0,오피스텔,중개거래,서울 강남구
2026,11740,강동구,10800,성내동,1,대지,0514,0007,목양빌리지,20260211,34000,60.32,33.0,3.0,,,2003.0,연립다세대,중개거래,서울 강동구
2026,11545,금천구,10200,독산동,1,대지,0378,0476,블루스카이빌,20260211,20960,43.17,55.84,2.0,,,2014.0,오피스텔,직거래,
2026,11680,강남구,11200,자곡동,1,대지,0655,0000,강남 푸르지오시티 2차(PRUGIO CITYⅡ),20260211,14300,19.971,26.45,2.0,,20260211,2014.0,오피스텔,중개거래,충북 진천군
2026,11710,송파구,10700,가락동,1,대지,0166,0006,테라펠리체송파,20260211,82000,44.035,0.0,8.0,,,2021.0,아파트,중개거래,서울 송파구
2026,11500,강서구,10900,방화동,1,대지,0830,0005,방화샤르망2오피스텔,20260211,6500,17.636,24.965,11.0,,,2003.0,오피스텔,직거래,
2026,11410,서대문구,11900,북가좌동,1,대지,0313,0007,진성위너스빌,20260211,36200,56.18,35.0,3.0,,,2014.0,연립다세대,중개거래,서울 서대문구
2026,11305,강북구,10200,번동,1,대지,0446,0013,가든타워오피스텔,20260211,16380,40.02,56.13,9.0,,,1991.0,오피스텔,중개거래,서울 강북구
2026,11470,양천구,10300,신월동,1,대지,0331,0050,무지개주택(331-50),20260211,9500,31.11,28.0,1.0,,,1994.0,연립다세대,직거래,
2026,11560,영등포구,12400,문래동6가,1,대지,0001,0001,문래동 현대홈시티1,20260211,56000,72.42,88.68,14.0,,,2004.0,오피스텔,중개거래,서울 영등포구
2026,11620,관악구,10100,봉천동,1,대지,1000,0000,현대(관악),20260211,105000,84.74,0.0,3.0,,,1992.0,아파트,중개거래,서울 관악구
2026,11710,송파구,10600,삼전동,1,대지,0071,0027,집앤사아로하,20260211,58300,29.6,20.0,5.0,,,2025.0,연립다세대,중개거래,서울 강남구
2026,11650,서초구,10200,양재동,1,대지,0275,0003,트윈타워,20260211,13100,24.07,24.07,3.0,,,1991.0,오피스텔,중개거래,서울 강남구
2026,11590,동작구,10600,동작동,1,대지,0102,0006,모던하이츠빌라,20260211,25000,42.96,26.0,2.0,,,1994.0,연립다세대,중개거래,서울 동작구
2026,11230,동대문구,10400,전농동,1,대지,0010,0000,전농SK,20260211,114500,84.95,0.0,12.0,,,2000.0,아파트,중개거래,서울 동대문구
